ESTACIONES;LONEST;LATEST;ELEEST;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
SANTAEULALIA;-76.667;-11.918;945;64.4;8.2;52.1;0;0;0;0;0;0;0;0;0
PIRCA;-76.650;-11.234;3300;148.4;140.4;178.9;45.6;10.6;0;0;;7.1;37;11.8;29.6
LACHAQUI;-76.617;-11.550;3895;192;177.9;276.1;30.7;3.8;0;0;0;5.2;17.9;7.8;7.1
HUAROS;-76.567;-11.400;3741;189.1;170.3;227.2;15.9;9.7;1.9;0;0.2;15.5;33.9;16;25.7
CARAMPOMA;-76.516;-11.655;3426;189.1;154.3;197.4;38.5;9;0;0;0;9.9;42;17.5;18.2
SANTIAGODETUNA;-76.517;-11.984;3230;279.4;232.4;310.2;0;0;0;0;0;0;0;3;
RICRAN;-75.525;-11.542;3687;183;163.8;177.1;68.9;46.7;0.7;1.5;1.2;14;59;70.1;109.2
INGENIO;-75.288;-11.881;3422;188.7;114.2;119;63.8;21.1;2.5;8.3;2.5;42.5;54.8;95.8;97.1
CASAPALCA;-76.234;-11.648;4100;220.3;174.4;134.4;74.6;38.6;1.6;1;14;40.1;70.6;32.3;83
MILLOC;-76.350;-11.572;4361;215.4;216.4;223.4;108.2;29.5;2.9;0;0;40.9;59.1;32.6;113.9
SANLAZARODEESCOMARCA;-76.350;-12.184;3840;226.9;165.5;298.3;18.5;;0;0;0;5.9;8.1;5.6;
HUANGASCAR;-75.834;-12.899;2533;210.8;135.6;282.1;0;0;0;0;0;0;3.2;0;0
SANJUANDEYANAC;-75.796;-13.220;2540;167.6;71;148.7;4.5;0.7;0;0;0;0.3;4.5;0.9;2.4
SANJUANDECASTROVIRREYNA;-75.644;-13.203;2398;179.4;77.5;130.1;1;1;0;0;0.1;1.2;3.8;1.8;4.6
HUANCALPI;-75.237;-12.542;4450;297.1;141.9;171.1;132.8;69;7.2;0;2;56.8;75.7;50.7;126.8
AYABACA;-79.729;-4.644;2830;144.4;297.5;561.3;267.5;222;10.6;0;16.7;0;115.4;14.4;71.5
HUANCABAMBA;-79.550;-5.250;3177;69.6;71.5;237.2;70;37.7;14;0;6.7;4.2;32.9;14.61;30.1
HUARMACA;-79.520;-5.565;2244;219.8;409.3;757;193.4;156.9;11.7;0.6;10.2;13.7;15.7;5.96;33.7
CHONTALI;-79.085;-5.644;1652;148;132.5;343.7;218.7;153.8;90.8;35.6;51;45.1;98.4;44.2;55.6
AUGUSTOWEBERBAUER;-78.485;-7.167;2660;77.7;72.6;138.9;81.5;46;11.2;2.5;21.1;21.7;65.3;63.4;143.8
NIEPOS;-79.129;-6.925;2424;186.8;269.4;661.3;126.9;77.2;32.7;0;74.6;56.4;72.8;8.9;26.6
INCAHUASI;-79.339;-6.237;2650;94.1;172;425.4;102.1;127.6;5.2;0;36.8;22.6;22.2;10.8;10.8
NAMORA;-78.339;-7.203;2782;143.7;35.3;240.7;103.4;93;25.5;0;18.2;23.3;91.6;42.5;114.3
LLAMA;-79.123;-6.515;2079;155.6;469.5;817.2;67.4;146.1;22.5;0;1.7;33.8;36.5;13.2;5.2
HUAMBOS;-78.966;-6.458;2213;80.1;73.6;265.9;57;101.6;50.9;2.2;27.7;62.7;64.6;49.7;16.9
SANTACRUZ;-78.949;-6.627;2039;79.7;49.8;213.6;56.2;74.4;25.5;0.5;25.6;82.3;68.9;30.6;19.4
CONTUMAZA;-78.830;-7.356;2610;136.7;469.8;769.8;61.4;24;13.1;0;6.8;2.6;28.3;10.1;24.1
GRANJAPORCON;-78.627;-7.034;2980;156;235.8;367;133.3;147.6;43.9;1.2;49.9;51.7;146.8;37.7;220.4
BAMBAMARCA;-78.525;-6.678;2577;115;57.4;193.7;83.9;67.4;26.9;0;19.1;44.3;132.7;60.4;48.2
SANJUAN;-78.491;-7.288;2469;268.2;182.9;453.1;150.1;65.6;19.3;0.3;6.2;5.1;116.6;19.4;115.6
SANMARCOS;-78.169;-7.322;2298;96.1;47.1;171.5;98.3;26.6;9;0;10.6;36.5;138.1;33.2;135.3
CAJABAMBA;-78.051;-7.627;2612;103.7;145.6;169.3;90.4;141.8;17;0;18.8;26.5;127.3;27.8;226.9
HUAMACHUCO;-78.051;-7.830;3290;142.3;104.2;213.1;118.3;85.2;23.5;0.2;28.6;28;90.3;39.2;170.5
LLAPA;-78.830;-7.000;2900;134.5;194.9;351.4;141.3;60.3;13.7;0.7;20.2;28.1;99.2;64.6;103.1
MAGDALENA;-78.661;-7.254;1257;71.5;61.4;270.5;55.7;10;2.8;0;1.1;2.4;31.7;7.8;37.4
ASUNCION;-78.516;-7.312;2194;268.2;285.1;558.5;145.8;64.5;6.5;0;3.4;7.6;113.8;21.9;101.3
CHANCAYBANOS;-78.881;-6.576;1575;105;75.4;355.2;99.3;95.9;95.4;0;68.9;69.2;57.2;45.4;25.7
TOCMOCHE;-79.356;-6.407;1450;124.7;540.3;701.8;183.4;75.5;1.8;0;5.8;14.2;11.8;1;0
UDIMA;-79.084;-6.813;2377;177.5;212;460.8;77.8;120.9;61.5;0.9;29.4;64.1;60.8;35.8;20.9
LIVES;-79.034;-7.085;1800;98.4;282.5;465.1;51.6;18;1.4;0;0.7;9;84.7;5;46.3
CHILETE;-78.838;-7.224;859;32.6;82.4;146.3;10.2;0;0;0;0;0;9.7;2.5;20.3
CHUGUR;-78.746;-6.678;2701;228.6;334.2;515;200.5;172.7;39.2;0;89.5;78.7;258.3;110.9;187.8
CACHACHI;-78.271;-7.458;3267;148;88.5;306.1;96.3;81.2;34.3;0;19.7;26;120.7;34.8;145.1
HUANGACOCHA;-78.068;-7.937;3780;193;162.5;345.4;132.7;118.6;;1.8;19.6;28.5;97.5;37.6;194
HUAMANI;-75.593;-13.847;1060;88.8;10.9;22.9;3.6;0.1;0.2;0;0;0.2;0.1;0;0.1
OLLACHEA;-70.498;-13.804;3420;214.2;228.7;194.2;55.1;39;;16.8;17.2;85.6;42.7;106.4;140.4
PUNO;-70.018;-15.823;3840;311.3;119.7;140.2;45.6;21.7;;;0;62.3;65.3;24.3;31.6
PUQUIO;-74.136;-14.712;2977;350.4;121;227.5;22.6;27.9;9.4;2.8;0;19.6;20.2;0;10.6
CORACORA;-73.784;-15.017;3172;273.2;93.4;124.1;17.2;4.1;0;0.1;0;0.7;1.5;4.4;
PAUZA;-73.356;-15.288;2652;139.8;54.3;117.1;5.4;10.8;1.3;0;0;7.4;4.9;0.4;5.6
CARAVELI;-73.362;-15.771;1779;27.3;16.3;11.9;0;0;0;0;0;0;0;0;0
COTAHUASI;-72.894;-15.211;2675;169.8;75.3;127.5;3.3;3.2;0.5;1.4;0;1.8;6.2;3.1;
CHUQUIBAMBA;-72.649;-15.838;2832;201.2;79.1;131.9;0;2.8;0;0;0;3.3;0.1;0;4.4
PAMPACOLCA;-72.568;-15.714;2950;166.2;61.9;147.3;0.9;7.6;0;0.2;0;1.3;0.2;0;14.5
SIBAYO;-71.453;-15.486;3827;188.5;107.3;176.9;57.4;24.71;1.3;5.7;0;11.1;10.6;30.7;91.3
CHIVAY;-71.597;-15.638;3661;223.2;87.9;106.2;23.8;14;0;2;0;11.4;8.9;21.9;53.1
CHUQUIBAMBILLA;-70.728;-14.796;3910;137.3;107.6;155.1;35.8;32.2;;3.1;0;55.6;42.2;80.1;77
IMATA;-71.088;-15.837;4445;189.2;103.7;131.4;25.6;10.6;0.5;0;0;6.5;3.9;15.7;48
AYAVIRI;-70.593;-14.881;3920;;64.1;124.3;36.1;32.8;0;9.4;0;28.8;41.4;63.8;87.2
PROGRESO;-70.356;-14.695;3905;109.8;79.2;105.6;107;36.1;;;0.4;55.4;46.3;37.7;51.7
