ESTACIONES;LONEST;LATEST;ELEEST;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
CHOCO;-72.117;-15.567;3192;140.4;78.6;76.1;3.6;1.2;0;0;0;6.5;0.1;0.1;23
HUAMBO;-72.100;-15.734;3500;156;44.6;115;4;3.3;0;0;0;2.9;1.8;0;21.7
MADRIGAL;-71.812;-15.617;3262;243.1;84.6;137.4;11.2;7.4;0;0;0;7.9;13.1;22.8;49.7
TISCO;-71.450;-15.350;4175;253.6;158.8;241.9;50;24.2;0.8;2.1;0.1;20.8;29.5;35.7;
PORPERA;-71.317;-15.350;4152;263.9;129.5;237.7;46.6;26.2;0;5.4;0;22.6;35.6;32.3;79.1
CUYOCUYO;-69.542;-14.474;3494;89.5;107.9;118.6;47;31.8;1.7;2.9;13.2;45.4;28.6;45.2;91.6
PAMPADEARRIEROS;-71.589;-16.063;3715;211;87.6;98;0.2;4.9;0;0;0;0.5;0;1.2;24
PILLONES;-71.217;-15.981;4431;139.1;78;88.2;23.6;10.2;0.1;0.3;0;9.3;0.7;33.7;21.9
LASSALINAS;-71.148;-16.318;4322;200.1;52.6;126.5;2.8;17.2;0;0.6;0;9.5;8;30.9;
QUINISTAQUILLAS;-70.898;-16.779;1590;83;21.7;40.3;0;0;0;0;0;0;0;0.1;9.1
CALACOA;-70.683;-16.735;3260;384.4;113.2;189.2;0;2.5;0;0;0;0;0.1;4.1;50.9
PAMPAUMALZO;-70.424;-16.875;4609;151;56.6;86.2;29.4;5.5;0;0;0;7.2;0;6.5;48.6
CAIRANI;-70.339;-17.288;3920;80.5;53.2;41.3;0;0.2;0;0;0;0.1;0;0.3;15.8
SUSAPAYA;-70.133;-17.351;3420;129.3;81.7;81;0;0;0.1;0;0;0.3;0.2;0.2;31.4
SITAJARA;-70.136;-17.373;3132;119.2;66.6;82.5;0;0.2;0.1;0;0;0.2;0;0.1;25.4
TALABAYA;-70.000;-17.559;3420;172.1;89.8;90.6;0;0.1;0.1;0;0;0.5;0.2;0.3;13.9
CAPAZO;-69.746;-17.186;4419;143.1;122;125.9;10.8;3.3;0.1;0;0;5.6;2.7;20.2;35
PAUCARANI;-69.779;-17.525;4556;143.5;81;92.4;4.5;2.3;0;0;0;2;1.1;12.1;54.9
CHACHAPOYAS;-77.867;-6.208;2490;103.4;111.4;145;112.4;47.5;17.5;2.9;76.4;32.6;70.1;66.3;112.3
